ZIP,DEPCODE,COUNTYNAME,FieldMatch,POName,c_places,Cases
33133,13,Dade,Dade-33133,Miami,"Coconut Grove, Coral Gables, Miami",294
33134,13,Dade,Dade-33134,Miami,"Coconut Grove, Coral Gables, Miami",224
33135,13,Dade,Dade-33135,Miami,Miami,386
33136,13,Dade,Dade-33136,Miami,Miami,690
33137,13,Dade,Dade-33137,Miami,Miami,213
33138,13,Dade,Dade-33138,Miami,"El Portal, Miami, Miami Shores",194
33139,13,Dade,Dade-33139,Miami Beach,"Fisher Island, Miami, Miami Beach",362
33140,13,Dade,Dade-33140,Miami Beach,"Miami, Miami Beach",451
33141,13,Dade,Dade-33141,Miami Beach,"Miami, Miami Beach, North Bay Village",209
33142,13,Dade,Dade-33142,Miami,Miami,879
33143,13,Dade,Dade-33143,Miami,"Coral Gables, Miami, Miami Gardens, South Miami",556
33144,13,Dade,Dade-33144,Miami,"Coral Gables, Miami, West Miami",359
33145,13,Dade,Dade-33145,Miami,Miami,208
33146,13,Dade,Dade-33146,Miami,"Coconut Grove, Coral Gables, Miami",84
33147,13,Dade,Dade-33147,Miami,Miami,524
33149,13,Dade,Dade-33149,Key Biscayne,"Key Biscayne, Miami",88
33150,13,Dade,Dade-33150,Miami,"El Portal, Miami",320
33154,13,Dade,Dade-33154,Miami Beach,"Bal Harbour, Bay Harbor Islands, Miami, Miami Beach, Surfside",77
33155,13,Dade,Dade-33155,Miami,"Miami, Miami Beach, West Miami",370
33156,13,Dade,Dade-33156,Miami,"Coral Gables, Kendall, Miami, Pinecrest",204
33157,13,Dade,Dade-33157,Miami,"Cutler Bay, Miami, Palmetto Bay, Perrine, Village Of Palmetto Bay",903
33158,13,Dade,Dade-33158,Miami,"Miami, Palmetto Bay, Village Of Palmetto Bay",17
33160,13,Dade,Dade-33160,North Miami Beach,"Aventura, Cleveland, Golden Beach, Miami, North Miami Beach, Sunny Isles Beach",235
33161,13,Dade,Dade-33161,Miami,"Biscayne Park, Miami, North Miami",725
33162,13,Dade,Dade-33162,Miami,"Miami, Miami Beach, North Miami Beach",422
33165,13,Dade,Dade-33165,Miami,Miami,509
33166,13,Dade,Dade-33166,Miami,"Doral, Medley, Miami, Miami Springs, Virginia Gardens",388
33167,13,Dade,Dade-33167,Miami,"Miami, North Miami",187
33168,13,Dade,Dade-33168,Miami,"Miami, North Miami",225
33169,13,Dade,Dade-33169,Miami,"Miami, Miami Gardens, North Miami Beach, Opa Locka",413
33170,13,Dade,Dade-33170,Miami,"Goulds, Miami",92
33172,13,Dade,Dade-33172,Miami,"Doral, Miami, Sweetwater, West Miami",334
33173,13,Dade,Dade-33173,Miami,Miami,147
33174,13,Dade,Dade-33174,Miami,"Miami, Sweetwater",200
33175,13,Dade,Dade-33175,Miami,Miami,452
33176,13,Dade,Dade-33176,Miami,Miami,294
33177,13,Dade,Dade-33177,Miami,Miami,408
33178,13,Dade,Dade-33178,Miami,"Doral, Medley, Miami",427
33179,13,Dade,Dade-33179,Miami,"Miami, Miami Gardens, North Miami Beach",395
33180,13,Dade,Dade-33180,Miami,"Aventura, Miami",272
33181,13,Dade,Dade-33181,Miami,"Miami, North Miami, North Miami Beach",132
33182,13,Dade,Dade-33182,Miami,"Doral, Miami",78
33183,13,Dade,Dade-33183,Miami,"Kendall, Miami",222
33184,13,Dade,Dade-33184,Miami,Miami,143
33185,13,Dade,Dade-33185,Miami,Miami,133
33186,13,Dade,Dade-33186,Miami,Miami,332
33187,13,Dade,Dade-33187,Miami,Miami,131
33189,13,Dade,Dade-33189,Miami,"Cutler Bay, Miami",150
33190,13,Dade,Dade-33190,Miami,"Cutler Bay, Miami, Quail Heights",108
33193,13,Dade,Dade-33193,Miami,Miami,300
33194,13,Dade,Dade-33194,Miami,Miami,135
33196,13,Dade,Dade-33196,Miami,Miami,310
33199,13,Dade,Dade-33199,Miami,Miami,-2
33301,6,Broward,Broward-33301,Fort Lauderdale,"Fort Lauderdale, Hollywood, Pompano Beach, Weston",92
33304,6,Broward,Broward-33304,Fort Lauderdale,Fort Lauderdale,102
33305,6,Broward,Broward-33305,Fort Lauderdale,"Fort Lauderdale, Oakland Park, Wilton Manors",118
33306,6,Broward,Broward-33306,Fort Lauderdale,"Fort Lauderdale, Oakland Park, Wilton Manors",13
33308,6,Broward,Broward-33308,Fort Lauderdale,"Fort Lauderdale, Laud-by-the-sea, Lauderdale By The Sea, Oakland Park",106
33309,6,Broward,Broward-33309,Fort Lauderdale,"Coral Springs, Fort Lauderdale, Hollywood, Lauderdale Lakes, Oakland Park, Pompano Beach, Tamarac",328
33311,6,Broward,Broward-33311,Fort Lauderdale,"Fort Lauderdale, Lauderdale Lakes, Lauderhill, Oakland Park, Plantation, Wilton Manors",669
33312,6,Broward,Broward-33312,Fort Lauderdale,"Davie, Fort Lauderdale",307
33313,6,Broward,Broward-33313,Fort Lauderdale,"City Of Sunrise, Fort Lauderdale, Lauderdale Lakes, Lauderhill, Oakland Park, Plantation, Sunrise",482
33314,6,Broward,Broward-33314,Fort Lauderdale,"Davie, Fort Lauderdale",148
33315,6,Broward,Broward-33315,Fort Lauderdale,Fort Lauderdale,110
33316,6,Broward,Broward-33316,Fort Lauderdale,"Fort Lauderdale, Port Everglades",339
33317,6,Broward,Broward-33317,Fort Lauderdale,"Davie, Fort Lauderdale, Plantation",168
33319,6,Broward,Broward-33319,Fort Lauderdale,"Fort Lauderdale, Lauderdale Lakes, Lauderhill, North Lauderdale, Tamarac",334
33321,6,Broward,Broward-33321,Fort Lauderdale,"Fort Lauderdale, Tamarac",208
33322,6,Broward,Broward-33322,Fort Lauderdale,"Fort Lauderdale, Plantation, Sunrise",138
33323,6,Broward,Broward-33323,Fort Lauderdale,"Fort Lauderdale, Plantation, Sunrise",94
33324,6,Broward,Broward-33324,Fort Lauderdale,"Davie, Fort Lauderdale, Plantation",154
33325,6,Broward,Broward-33325,Fort Lauderdale,"Davie, Fort Lauderdale, Plantation, Sunrise",125
33326,6,Broward,Broward-33326,Fort Lauderdale,"Davie, Fort Lauderdale, Sunrise, Weston",132
33327,6,Broward,Broward-33327,Fort Lauderdale,"Fort Lauderdale, Weston",50
33328,6,Broward,Broward-33328,Fort Lauderdale,"Cooper City, Davie, Fort Lauderdale",95
33330,6,Broward,Broward-33330,Fort Lauderdale,"Cooper City, Davie, Fort Lauderdale, Southwest Ranches",46
33331,6,Broward,Broward-33331,Fort Lauderdale,"Davie, Fort Lauderdale, Southwest Ranches, Weston",111
33332,6,Broward,Broward-33332,Fort Lauderdale,"Fort Lauderdale, Southwest Ranches, Weston",28
33334,6,Broward,Broward-33334,Fort Lauderdale,"Fort Lauderdale, Oakland Park, Wilton Manors",173
33351,6,Broward,Broward-33351,Fort Lauderdale,"Fort Lauderdale, Lauderdale Lakes, Lauderhill, Miramar, Sunrise",161
33401,50,Palm Beach,Palm Beach-33401,West Palm Beach,West Palm Beach,298
33403,50,Palm Beach,Palm Beach-33403,West Palm Beach,"Lake Park, Riviera Beach, West Palm Beach",63
33404,50,Palm Beach,Palm Beach-33404,West Palm Beach,"Palm Beach Shores, Riviera Beach, Singer Island, West Palm Beach",310
33405,50,Palm Beach,Palm Beach-33405,West Palm Beach,West Palm Beach,223
33406,50,Palm Beach,Palm Beach-33406,West Palm Beach,"Cloud Lake, Palm Springs, West Palm Beach",330
33407,50,Palm Beach,Palm Beach-33407,West Palm Beach,"Mangonia Park, Riviera Beach, West Palm Beach",387
33408,50,Palm Beach,Palm Beach-33408,North Palm Beach,"Juno Beach, North Palm Beach",63
33409,50,Palm Beach,Palm Beach-33409,West Palm Beach,"Haverhill, West Palm Beach",270
33410,50,Palm Beach,Palm Beach-33410,Palm Beach Gardens,"North Palm Beach, Palm Beach Gardens, Riviera Beach, West Palm Beach",209
33411,50,Palm Beach,Palm Beach-33411,West Palm Beach,"Royal Palm Beach, Wellington, West Palm Beach",321
33412,50,Palm Beach,Palm Beach-33412,West Palm Beach,"Palm Beach Gardens, Royal Palm Beach, West Palm Beach",68
33413,50,Palm Beach,Palm Beach-33413,West Palm Beach,"Greenacres, West Palm Beach",120
33414,50,Palm Beach,Palm Beach-33414,Wellington,"Wellington, West Palm Beach",214
33415,50,Palm Beach,Palm Beach-33415,West Palm Beach,"Greenacres, Haverhill, West Palm Beach",547
33417,50,Palm Beach,Palm Beach-33417,West Palm Beach,"Haverhill, West Palm Beach",254
33418,50,Palm Beach,Palm Beach-33418,Palm Beach Gardens,"Palm Beach Gardens, Riviera Beach, West Palm Beach",151
33426,50,Palm Beach,Palm Beach-33426,Boynton Beach,Boynton Beach,162
33428,50,Palm Beach,Palm Beach-33428,Boca Raton,Boca Raton,216
33430,50,Palm Beach,Palm Beach-33430,Belle Glade,Belle Glade,531
33431,50,Palm Beach,Palm Beach-33431,Boca Raton,Boca Raton,83
33432,50,Palm Beach,Palm Beach-33432,Boca Raton,Boca Raton,98
33433,50,Palm Beach,Palm Beach-33433,Boca Raton,Boca Raton,228
33434,50,Palm Beach,Palm Beach-33434,Boca Raton,Boca Raton,67
33435,50,Palm Beach,Palm Beach-33435,Boynton Beach,"Boynton Beach, Ocean Ridge",403
33436,50,Palm Beach,Palm Beach-33436,Boynton Beach,Boynton Beach,243
33437,50,Palm Beach,Palm Beach-33437,Boynton Beach,Boynton Beach,169
33438,43,Martin,Martin-33438,Canal Point,,0
33438,50,Palm Beach,Palm Beach-33438,Canal Point,Canal Point,12
33440,26,Hendry,Hendry-33440,Clewiston,Clewiston,489
33440,50,Palm Beach,Palm Beach-33440,Clewiston,,0
33441,6,Broward,Broward-33441,Deerfield Beach,Deerfield Beach,185
33442,6,Broward,Broward-33442,Deerfield Beach,Deerfield Beach,121
33444,50,Palm Beach,Palm Beach-33444,Delray Beach,Delray Beach,197
33445,50,Palm Beach,Palm Beach-33445,Delray Beach,Delray Beach,179
33446,50,Palm Beach,Palm Beach-33446,Delray Beach,Delray Beach,134
33449,50,Palm Beach,Palm Beach-33449,Lake Worth,"Lake Worth, Wellington",53
33455,43,Martin,Martin-33455,Hobe Sound,Hobe Sound,106
33458,43,Martin,Martin-33458,Jupiter,,0
33458,50,Palm Beach,Palm Beach-33458,Jupiter,Jupiter,400
33460,50,Palm Beach,Palm Beach-33460,Lake Worth Beach,"Lake Worth, Lake Worth Beach",851
33461,50,Palm Beach,Palm Beach-33461,Lake Worth,"Lake Worth, Lake Worth Beach, Palm Springs",622
33462,50,Palm Beach,Palm Beach-33462,Lake Worth,"Atlantis, Hypoluxo, Lake Worth, Lantana, Manalapan",308
33463,50,Palm Beach,Palm Beach-33463,Lake Worth,"Greenacres, Lake Worth",563
33467,50,Palm Beach,Palm Beach-33467,Lake Worth,"Greenacres, Lake Worth, Wellington",270
33469,43,Martin,Martin-33469,Jupiter,,0
33469,50,Palm Beach,Palm Beach-33469,Jupiter,"Jupiter, Tequesta",47
33470,50,Palm Beach,Palm Beach-33470,Loxahatchee,"Loxahatchee, Loxahatchee Groves, Wellington",101
33471,22,Glades,Glades-33471,Moore Haven,Moore Haven,136
33472,50,Palm Beach,Palm Beach-33472,Boynton Beach,Boynton Beach,59
33473,50,Palm Beach,Palm Beach-33473,Boynton Beach,Boynton Beach,23
33476,50,Palm Beach,Palm Beach-33476,Pahokee,Pahokee,214
33477,50,Palm Beach,Palm Beach-33477,Jupiter,Jupiter,41
33478,43,Martin,Martin-33478,Jupiter,,0
33478,50,Palm Beach,Palm Beach-33478,Jupiter,Jupiter,32
33480,50,Palm Beach,Palm Beach-33480,Palm Beach,"Palm Beach, South Palm Beach",41
33483,50,Palm Beach,Palm Beach-33483,Delray Beach,Delray Beach,46
33484,50,Palm Beach,Palm Beach-33484,Delray Beach,"Delray Beach, West Delray Beach",191
33486,50,Palm Beach,Palm Beach-33486,Boca Raton,Boca Raton,168
33487,50,Palm Beach,Palm Beach-33487,Boca Raton,Boca Raton,64
33493,50,Palm Beach,Palm Beach-33493,South Bay,South Bay,245
33496,50,Palm Beach,Palm Beach-33496,Boca Raton,Boca Raton,69
33498,50,Palm Beach,Palm Beach-33498,Boca Raton,Boca Raton,49
33510,29,Hillsborough,Hillsborough-33510,Brandon,Brandon,114
33511,29,Hillsborough,Hillsborough-33511,Brandon,Brandon,268
33513,60,Sumter,Sumter-33513,Bushnell,Bushnell,123
33514,60,Sumter,Sumter-33514,Center Hill,Center Hill,-2
33523,27,Hernando,Hernando-33523,Dade City,,0
33523,51,Pasco,Pasco-33523,Dade City,Dade City,20
33525,51,Pasco,Pasco-33525,Dade City,Dade City,96
33527,29,Hillsborough,Hillsborough-33527,Dover,Dover,47
33534,29,Hillsborough,Hillsborough-33534,Gibsonton,Gibsonton,57
33538,60,Sumter,Sumter-33538,Lake Panasoffkee,Lake Panasoffkee,22
33540,29,Hillsborough,Hillsborough-33540,Zephyrhills,,0
33540,51,Pasco,Pasco-33540,Zephyrhills,Zephyrhills,8
33541,51,Pasco,Pasco-33541,Zephyrhills,Zephyrhills,26
33542,51,Pasco,Pasco-33542,Zephyrhills,Zephyrhills,35
33543,51,Pasco,Pasco-33543,Wesley Chapel,"Wesley Chapel, Zephyrhills",68
33544,51,Pasco,Pasco-33544,Wesley Chapel,"Wesley Chapel, Zephyrhills",74
33545,51,Pasco,Pasco-33545,Wesley Chapel,Wesley Chapel,41
33547,29,Hillsborough,Hillsborough-33547,Lithia,Lithia,32
33547,53,Polk,Polk-33547,Lithia,,0
33548,29,Hillsborough,Hillsborough-33548,Lutz,Lutz,19
33548,51,Pasco,Pasco-33548,Lutz,,0
33549,29,Hillsborough,Hillsborough-33549,Lutz,Lutz,38
33549,51,Pasco,Pasco-33549,Lutz,Lutz,-2
33556,29,Hillsborough,Hillsborough-33556,Odessa,Odessa,56
33556,51,Pasco,Pasco-33556,Odessa,Odessa,6
33558,29,Hillsborough,Hillsborough-33558,Lutz,Lutz,46
33558,51,Pasco,Pasco-33558,Lutz,Lutz,-2
33559,29,Hillsborough,Hillsborough-33559,Lutz,Lutz,30
33559,51,Pasco,Pasco-33559,Lutz,Lutz,-2
33563,29,Hillsborough,Hillsborough-33563,Plant City,Plant City,175
33565,29,Hillsborough,Hillsborough-33565,Plant City,Plant City,39
33566,29,Hillsborough,Hillsborough-33566,Plant City,Plant City,89
33567,29,Hillsborough,Hillsborough-33567,Plant City,Plant City,31
33569,29,Hillsborough,Hillsborough-33569,Riverview,Riverview,60
33570,29,Hillsborough,Hillsborough-33570,Ruskin,Ruskin,158
33572,29,Hillsborough,Hillsborough-33572,Apollo Beach,Apollo Beach,50
33573,29,Hillsborough,Hillsborough-33573,Sun City Center,"Ruskin, Sun City Center",63
33576,51,Pasco,Pasco-33576,San Antonio,San Antonio,-2
33578,29,Hillsborough,Hillsborough-33578,Riverview,Riverview,188
33579,29,Hillsborough,Hillsborough-33579,Riverview,Riverview,113
33584,29,Hillsborough,Hillsborough-33584,Seffner,Seffner,79
33585,60,Sumter,Sumter-33585,Sumterville,Sumterville,5
33592,29,Hillsborough,Hillsborough-33592,Thonotosassa,Thonotosassa,39
33594,29,Hillsborough,Hillsborough-33594,Valrico,Valrico,75
33596,29,Hillsborough,Hillsborough-33596,Valrico,Valrico,51
33597,27,Hernando,Hernando-33597,Webster,,-2
33597,51,Pasco,Pasco-33597,Webster,,0
33597,60,Sumter,Sumter-33597,Webster,Webster,12
33598,29,Hillsborough,Hillsborough-33598,Wimauma,Wimauma,102
33598,41,Manatee,Manatee-33598,Wimauma,Wimauma,-2
33602,29,Hillsborough,Hillsborough-33602,Tampa,Tampa,184
33603,29,Hillsborough,Hillsborough-33603,Tampa,Tampa,74
33604,29,Hillsborough,Hillsborough-33604,Tampa,Tampa,131
33605,29,Hillsborough,Hillsborough-33605,Tampa,Tampa,110
33606,29,Hillsborough,Hillsborough-33606,Tampa,Tampa,159
33607,29,Hillsborough,Hillsborough-33607,Tampa,Tampa,237
33609,29,Hillsborough,Hillsborough-33609,Tampa,Tampa,98
33610,29,Hillsborough,Hillsborough-33610,Tampa,Tampa,328
33611,29,Hillsborough,Hillsborough-33611,Tampa,Tampa,130
33612,29,Hillsborough,Hillsborough-33612,Tampa,Tampa,369
33613,29,Hillsborough,Hillsborough-33613,Tampa,Tampa,268
33614,29,Hillsborough,Hillsborough-33614,Tampa,Tampa,263
33615,29,Hillsborough,Hillsborough-33615,Tampa,"Tampa, Town N Country",209
33616,29,Hillsborough,Hillsborough-33616,Tampa,Tampa,79
33617,29,Hillsborough,Hillsborough-33617,Tampa,"Tampa, Temple Terrace",178
33618,29,Hillsborough,Hillsborough-33618,Tampa,"Carrollwood, Tampa",88
33619,29,Hillsborough,Hillsborough-33619,Tampa,Tampa,254
33620,29,Hillsborough,Hillsborough-33620,Tampa,Tampa,-2
33621,29,Hillsborough,Hillsborough-33621,Tampa,Tampa,6
33624,29,Hillsborough,Hillsborough-33624,Tampa,Tampa,115
33625,29,Hillsborough,Hillsborough-33625,Tampa,"Carrollwood, Tampa",76
33626,29,Hillsborough,Hillsborough-33626,Tampa,"Tampa, Westchase",70
33629,29,Hillsborough,Hillsborough-33629,Tampa,Tampa,96
33634,29,Hillsborough,Hillsborough-33634,Tampa,Tampa,74
33635,29,Hillsborough,Hillsborough-33635,Tampa,Tampa,50
33637,29,Hillsborough,Hillsborough-33637,Tampa,"Tampa, Temple Terrace",74
33647,29,Hillsborough,Hillsborough-33647,Tampa,"Tampa, Tampa Palms",176
33701,52,Pinellas,Pinellas-33701,Saint Petersburg,Saint Petersburg,160
33702,52,Pinellas,Pinellas-33702,Saint Petersburg,"Lealman, Saint Petersburg",180
33703,52,Pinellas,Pinellas-33703,Saint Petersburg,Saint Petersburg,84
33704,52,Pinellas,Pinellas-33704,Saint Petersburg,Saint Petersburg,50
33705,52,Pinellas,Pinellas-33705,Saint Petersburg,Saint Petersburg,302
33706,52,Pinellas,Pinellas-33706,Saint Petersburg,"Saint Pete Beach, Saint Petersburg, Treasure Island",38
33707,52,Pinellas,Pinellas-33707,Saint Petersburg,"Gulfport, Pasadena, Saint Petersburg, South Pasadena",91
33708,52,Pinellas,Pinellas-33708,Saint Petersburg,"Madeira Beach, North Redington Beach, Saint Petersburg",34
33709,52,Pinellas,Pinellas-33709,Saint Petersburg,"Kenneth City, Saint Petersburg",114
33710,52,Pinellas,Pinellas-33710,Saint Petersburg,Saint Petersburg,130
33711,52,Pinellas,Pinellas-33711,Saint Petersburg,Saint Petersburg,199
33712,52,Pinellas,Pinellas-33712,Saint Petersburg,Saint Petersburg,277
33713,52,Pinellas,Pinellas-33713,Saint Petersburg,Saint Petersburg,139
33714,52,Pinellas,Pinellas-33714,Saint Petersburg,"Lealman, Saint Petersburg",80
33715,52,Pinellas,Pinellas-33715,Saint Petersburg,"Saint Petersburg, Tierra Verde",21
33716,52,Pinellas,Pinellas-33716,Saint Petersburg,Saint Petersburg,167
33755,52,Pinellas,Pinellas-33755,Clearwater,Clearwater,110
33756,52,Pinellas,Pinellas-33756,Clearwater,"Belleair, Clearwater",131
33759,52,Pinellas,Pinellas-33759,Clearwater,Clearwater,68
33760,52,Pinellas,Pinellas-33760,Clearwater,Clearwater,56
33761,52,Pinellas,Pinellas-33761,Clearwater,Clearwater,53
33762,52,Pinellas,Pinellas-33762,Clearwater,Clearwater,25
33763,52,Pinellas,Pinellas-33763,Clearwater,Clearwater,45
33764,52,Pinellas,Pinellas-33764,Clearwater,Clearwater,67
33765,52,Pinellas,Pinellas-33765,Clearwater,Clearwater,53
33767,52,Pinellas,Pinellas-33767,Clearwater Beach,Clearwater Beach,32
33770,52,Pinellas,Pinellas-33770,Largo,"Belleair Bluffs, Largo",78
33771,52,Pinellas,Pinellas-33771,Largo,Largo,119
33772,52,Pinellas,Pinellas-33772,Seminole,Seminole,102
33773,52,Pinellas,Pinellas-33773,Largo,Largo,82
33774,52,Pinellas,Pinellas-33774,Largo,Largo,52
33776,52,Pinellas,Pinellas-33776,Seminole,Seminole,34
33777,52,Pinellas,Pinellas-33777,Seminole,"Largo, Seminole",117
33778,52,Pinellas,Pinellas-33778,Largo,"Largo, Seminole",55
33781,52,Pinellas,Pinellas-33781,Pinellas Park,Pinellas Park,98
33782,52,Pinellas,Pinellas-33782,Pinellas Park,Pinellas Park,89
33785,52,Pinellas,Pinellas-33785,Indian Rocks Beach,"Indian Rock Beach, Indian Rocks Beach, Indian Shores",17
33786,52,Pinellas,Pinellas-33786,Belleair Beach,Belleair Beach,5
33801,53,Polk,Polk-33801,Lakeland,Lakeland,104
33803,53,Polk,Polk-33803,Lakeland,Lakeland,70
33805,53,Polk,Polk-33805,Lakeland,"Gibsonia, Lakeland",167
33809,53,Polk,Polk-33809,Lakeland,Lakeland,71
33810,29,Hillsborough,Hillsborough-33810,Lakeland,,0
33810,53,Polk,Polk-33810,Lakeland,Lakeland,106
33811,53,Polk,Polk-33811,Lakeland,Lakeland,49
33812,53,Polk,Polk-33812,Lakeland,Lakeland,29
33813,53,Polk,Polk-33813,Lakeland,Lakeland,150
33815,53,Polk,Polk-33815,Lakeland,Lakeland,37
33823,53,Polk,Polk-33823,Auburndale,Auburndale,100
33825,25,Hardee,Hardee-33825,Avon Park,,0
33825,28,Highlands,Highlands-33825,Avon Park,Avon Park,79
33825,53,Polk,Polk-33825,Avon Park,,0
33827,53,Polk,Polk-33827,Babson Park,Babson Park,5
33830,53,Polk,Polk-33830,Bartow,Bartow,154
33834,25,Hardee,Hardee-33834,Bowling Green,Bowling Green,98
33834,53,Polk,Polk-33834,Bowling Green,,0
33837,53,Polk,Polk-33837,Davenport,Davenport,65
33838,53,Polk,Polk-33838,Dundee,Dundee,8
33839,53,Polk,Polk-33839,Eagle Lake,Eagle Lake,19
33841,53,Polk,Polk-33841,Fort Meade,Fort Meade,55
33843,53,Polk,Polk-33843,Frostproof,Frostproof,30
33844,53,Polk,Polk-33844,Haines City,Haines City,80
33849,53,Polk,Polk-33849,Kathleen,Kathleen,-2
33850,53,Polk,Polk-33850,Lake Alfred,Lake Alfred,21
33852,28,Highlands,Highlands-33852,Lake Placid,Lake Placid,37
33853,53,Polk,Polk-33853,Lake Wales,Lake Wales,52
33854,53,Polk,Polk-33854,Lakeshore,,0
33855,53,Polk,Polk-33855,Indian Lake Estates,Indian Lake Estates,-2
33856,53,Polk,Polk-33856,Nalcrest,,0
33857,28,Highlands,Highlands-33857,Lorida,Lorida,-2
33859,53,Polk,Polk-33859,Lake Wales,Lake Wales,16
33860,53,Polk,Polk-33860,Mulberry,Mulberry,76
33865,25,Hardee,Hardee-33865,Ona,Ona,5
33867,53,Polk,Polk-33867,River Ranch,,0
33868,53,Polk,Polk-33868,Polk City,Polk City,21
33870,28,Highlands,Highlands-33870,Sebring,Sebring,87
33872,28,Highlands,Highlands-33872,Sebring,Sebring,21
33873,25,Hardee,Hardee-33873,Wauchula,Wauchula,183
33875,28,Highlands,Highlands-33875,Sebring,Sebring,9
33876,28,Highlands,Highlands-33876,Sebring,Sebring,9
33880,53,Polk,Polk-33880,Winter Haven,"Wahneta, Winter Haven",202
33881,53,Polk,Polk-33881,Winter Haven,Winter Haven,180
33884,53,Polk,Polk-33884,Winter Haven,"Cypress Gardens, Winter Haven",117
33890,25,Hardee,Hardee-33890,Zolfo Springs,Zolfo Springs,27
33896,49,Osceola,Osceola-33896,Davenport,Davenport,-2
33896,53,Polk,Polk-33896,Davenport,"Champions Gate, Davenport",40
33897,53,Polk,Polk-33897,Davenport,Davenport,68
33898,49,Osceola,Osceola-33898,Lake Wales,,0
33898,53,Polk,Polk-33898,Lake Wales,Lake Wales,39
33901,36,Lee,Lee-33901,Fort Myers,"Fort Myers, Punta Gorda",204
33903,36,Lee,Lee-33903,North Fort Myers,"Fort Myers, North Fort Myers",59
33904,36,Lee,Lee-33904,Cape Coral,Cape Coral,76
33905,36,Lee,Lee-33905,Fort Myers,"Buckingham, Fort Myers, Tice",276
33907,36,Lee,Lee-33907,Fort Myers,Fort Myers,276
33908,36,Lee,Lee-33908,Fort Myers,Fort Myers,150
33909,36,Lee,Lee-33909,Cape Coral,Cape Coral,158
33912,36,Lee,Lee-33912,Fort Myers,"Fort Myers, San Carlos Park",127
33913,36,Lee,Lee-33913,Fort Myers,"Fort Myers, Miromar Lakes",87
33914,36,Lee,Lee-33914,Cape Coral,Cape Coral,108
33916,36,Lee,Lee-33916,Fort Myers,"Fort Myers, Lehigh Acres",235
33917,8,Charlotte,Charlotte-33917,North Fort Myers,,0
33917,36,Lee,Lee-33917,North Fort Myers,"Fort Myers, North Fort Myers",62
33919,36,Lee,Lee-33919,Fort Myers,Fort Myers,76
33920,36,Lee,Lee-33920,Alva,Alva,11
33921,36,Lee,Lee-33921,Boca Grande,Boca Grande,-2
33922,36,Lee,Lee-33922,Bokeelia,Bokeelia,-2
33924,36,Lee,Lee-33924,Captiva,Captiva,-2
33928,36,Lee,Lee-33928,Estero,Estero,89
33931,36,Lee,Lee-33931,Fort Myers Beach,Fort Myers Beach,19
33935,22,Glades,Glades-33935,Labelle,Labelle,-2
33935,26,Hendry,Hendry-33935,Labelle,"Fort Denaud, Labelle",267
33936,26,Hendry,Hendry-33936,Lehigh Acres,,0
33936,36,Lee,Lee-33936,Lehigh Acres,"Lehigh, Lehigh Acres",147
33944,22,Glades,Glades-33944,Palmdale,Palmdale,-2
33946,8,Charlotte,Charlotte-33946,Placida,Placida,5
33947,8,Charlotte,Charlotte-33947,Rotonda West,"Cape Haze, Rotunda West",20
33948,8,Charlotte,Charlotte-33948,Port Charlotte,Port Charlotte,59
33950,8,Charlotte,Charlotte-33950,Punta Gorda,Punta Gorda,52
33952,8,Charlotte,Charlotte-33952,Port Charlotte,Port Charlotte,125
33953,8,Charlotte,Charlotte-33953,Port Charlotte,Port Charlotte,16
33954,8,Charlotte,Charlotte-33954,Port Charlotte,Port Charlotte,25
33955,8,Charlotte,Charlotte-33955,Punta Gorda,Punta Gorda,13
33955,36,Lee,Lee-33955,Punta Gorda,,0
33956,36,Lee,Lee-33956,Saint James City,Saint James City,-2
33957,36,Lee,Lee-33957,Sanibel,Sanibel,13
33960,22,Glades,Glades-33960,Venus,,0
33960,28,Highlands,Highlands-33960,Venus,Venus,6
33965,36,Lee,Lee-33965,Fort Myers,Fort Myers,-2
33966,36,Lee,Lee-33966,Fort Myers,Fort Myers,44
33967,36,Lee,Lee-33967,Fort Myers,"Estero, Fort Myers",101
33971,36,Lee,Lee-33971,Lehigh Acres,Lehigh Acres,237
33972,36,Lee,Lee-33972,Lehigh Acres,Lehigh Acres,91
33973,36,Lee,Lee-33973,Lehigh Acres,Lehigh Acres,106
33974,36,Lee,Lee-33974,Lehigh Acres,Lehigh Acres,143
33976,36,Lee,Lee-33976,Lehigh Acres,"Lehigh, Lehigh Acres",129
33980,8,Charlotte,Charlotte-33980,Punta Gorda,"Port Charlotte, Punta Gorda",130
33981,8,Charlotte,Charlotte-33981,Port Charlotte,Port Charlotte,23
33982,8,Charlotte,Charlotte-33982,Punta Gorda,Punta Gorda,23
33983,8,Charlotte,Charlotte-33983,Punta Gorda,"Port Charlotte, Punta Gorda",57
33990,36,Lee,Lee-33990,Cape Coral,Cape Coral,130
33991,36,Lee,Lee-33991,Cape Coral,Cape Coral,91
33993,36,Lee,Lee-33993,Cape Coral,"Cape Coral, Matlacha",136
34102,11,Collier,Collier-34102,Naples,Naples,102
34103,11,Collier,Collier-34103,Naples,Naples,36
34104,11,Collier,Collier-34104,Naples,Naples,223
34105,11,Collier,Collier-34105,Naples,Naples,48
34108,11,Collier,Collier-34108,Naples,Naples,59
34109,11,Collier,Collier-34109,Naples,Naples,121
34110,11,Collier,Collier-34110,Naples,Naples,85
34110,36,Lee,Lee-34110,Naples,,0
34112,11,Collier,Collier-34112,Naples,Naples,158
34113,11,Collier,Collier-34113,Naples,Naples,164
